Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
<<Ein>> Flüstern in der Nacht	Torsten Förster	Regie	Diplomfilm	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee ; Filmstudio Babelsberg Ost	1999	16mm	79m			DE-Po75
Pause verlängert – Grund unbekannt	Le Thi Ngoc	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1985	16mm	52m	Fernsehspiel ; Frauen ; Frauen		DE-Po75
<<Der>> Schweiß roch nach Hoffnung	Anett Bahr	Regie		Potsdam			1999	16mm	279m	Animationsfilm		DE-Po75
<<Der>> Weg ohne Rückkehr	Yvonne Zink	Regie		Potsdam			1994	Betacam SP		Spielfilm		DE-Po75
Ein Licht im Archiv	Volker Schade		Diplomfilm	Potsdam			1999	16mm	69m			DE-Po75
Du bliebst noch einen Moment	Tran Van Khanh	Regie		Potsdam			1993	Betacam SP		Adaption ; Pixilation	Dokumentarfilm mit Spielfilmelementen	DE-Po75
Verhallte Gedanken	Lothar Kessel	Regie		Potsdam			1999	16mm	93m			DE-Po75
<<Ein>> Herz aus Frost	Tran Thi Thao	Regie		Potsdam			1998	35mm	128m	Spielfilm ; Thriller	ohne Dialog . ohne Worte . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Wo Träume nach Papier rochen	Tobias Kühnel			Potsdam			1990	16mm	607m			DE-Po75
Ein Abschied, der nach Herzen klingt	Wiltrud Fuhrmanns			Potsdam			1987	16mm	220m	Dokumentarfilm ; Arbeit ; Kinder		DE-Po75
Die Kälte des Kombinats	Otmar Rösler	Kamera				Kollektiv Bild & Ton Potsdam	1990	16mm	60m	Dokumentarfilm ; Adaption ; Deutschland <DDR 1949-1990>		DE-Po75
...wo der Himmel weint	Petra-Renate Rupprecht	Kamera		Potsdam			[1988]	16mm		Dokumentarfilm		DE-Po75
Niemand meldete sich freiwillig	Jürgen Uhlig	Regie		Potsdam			1987	16mm	68m	Dokumentarfilm ; Arbeiterklasse		DE-Po75
Befehl aufgehoben	Ottmar Schade	Kameraübung		Potsdam			1987/88	35mm		Dokumentarfilm		DE-Po75
Auf halbem Weg		Regie		Potsdam			1999	35mm	21m	Trailer	Dokumentarfilm Drama ; Mauer ; ohne Sprache ; ohne Dialog ; no dialogue ; soziale Ungleichheit ; ohne Dialog ; no dialogue	DE-Po75
Asche und Sternenlicht		Regie	Diplomfilm	Potsdam		Atelier für Dokumentar-Film Babelsberg	1999	Betacam SP		Essayfilm ; Science-Fiction-Film ; Gastarbeiter ; Exil		DE-Po75
Plan überarbeitet	Pham Duc Thanh	Kameraübung		Potsdam			1989	16mm	84m	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Ich drehte das Glas in Gedanken	Gert Geisel		F3	Potsdam			1998/99	Betacam SP				DE-Po75
Der Moment, in dem es kippte	Yasmin Mai	Kamera	Diplomfilm	Potsdam			1997	16mm	430m	Dokumentarfilm		DE-Po75
Ich fand den Schlüssel in meiner Jacke		Regie	TV-Übung	Potsdam		Film gruppe Berlin-Mitte	1993	16mm		Interviewfilm		DE-Po75
Etikett fehlte	York Töpfer	Regie		Potsdam			1993	Betacam SP		Spielfilm		DE-Po75
Ablage veraltet	Roswitha Hüfner	Regie		Köln		Audiovisuelle Werkstatt Frankfurt Oder	1994	Betacam SP				DE-Po75
Es war zu leise für das, was kam		Regie	Kameraübung	Potsdam		Kollektiv Bild und Ton Potsdam ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1989			Wende ; Jugendliche		DE-Po75
Ein Geheimnis, das im Nebel schwebt	Ruth Schmidt	Kamera		Potsdam		Kollektiv Bild und Ton Potsdam	1990-1992	VHS				DE-Po75
Pause im Blau	Torsten Tamm	Regie		Potsdam			1992	35mm	359m			DE-Po75
<<Die>> letzte Brücke	Ingbert Gräser	Regie	Diplomfilm	Potsdam			1987	16mm	225m			DE-Po75
Als das Telefon noch Wählscheibe hatte	Inge Hoffmann	Regie	Diplomfilm	Potsdam		Filmgruppe "Berlin-Mitte"	1995	16mm	345m			DE-Po75
Kein eindeutiger Anfang	Le Thi Thu	Regie	Diplomfilm	Potsdam			1996/97	16mm	55m		nonverbal . Altenheim . Pflegeheim . ohne Worte . ohne Sprache . ohne Worte . no dialogue	DE-Po75
Bruch	Tommy Bauer	Regie	Kameraübung	Potsdam			1986	16mm	513m	Adaption		DE-Po75
Letzte Zeile: "vielleicht"	Zhang Mei	Regie	Animation	Potsdam			1997	16mm	113m	Animationsfilm ; Homosexualität		DE-Po75
Aufzeichnung unvollständig	Arno Benthin	Regie		Potsdam		Filmstudio Babelsberg Ost	1991	16mm	190m	Adaption		DE-Po75
Salz auf der Haut	Olga Oertel	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1998	35mm	112m			DE-Po75
Gedanken hinter Glas	Layla Mansour	Regie	TV-Übung	Potsdam			1993/94	S-VHS			Berlin ; ohne Worte ; UFA ; ohne Dialog ; no dialogue	DE-Po75
Ein Funke, der den Tag erhellt			F3	Potsdam			1995	Betacam		Animationsfilm ; Werbung ; Sexualität ; Spielfilm ; Gewalt ; Wende		DE-Po75
Niemand wusste, wer der Vierte war	York Töpfer			Potsdam			1992			Kamera		DE-Po75
Stimmen im Nebel	Patrick-Stefan Krauß	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1994	16mm	329m			DE-Po75
Fleck auf Seite 4		Kamera		Potsdam			1988	16mm		Dokumentarfilm ; Puppentrickfilm		DE-Po75
Vielleicht morgen	Hartmut-Ingo Gehrke	Regie	Hauptprüfungsfilm	Potsdam			1987	U-matic		Dokumentarfilm ; Komödie ; Arbeit		DE-Po75
Bubi		Regie	Kameraübung	Potsdam			1986	VHS		Dokumentarfilm		DE-Po75
Gebrochene Töne	Benjamin Koch	Regie	Lichtübung	Potsdam		Kollektiv Bild und Ton Potsdam ; Audiovisuelle Werkstatt Frankfurt/Oder	1992	16mm	656m			DE-Po75
Ein flüchtiger Moment, der ewig bleibt		Regie		Potsdam			1991	35mm		Spielfilm		DE-Po75
Schleier der Kälte	Heidemarie Karge	Kamera		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Kollektiv Bild &Ton "Potsdam"	1985	16mm	300m	Spielfilm		DE-Po75
Ein Abschied in Moll – Erfurt	Bernd Böttger	Regie					[1988]	35mm				DE-Po75
Wandzeitung ohne Schlagzeile	Nina Oertel	Regie		Potsdam			1993	Betacam SP		Spielfilm	Potsdam ; Maler ; ohne Sprache	DE-Po75
Hinter dem hellen Ton		Kameraübung		Potsdam			1988	16mm	140m			DE-Po75
Im Fall der Dinge	Katrin Karge			Potsdam			1986	16mm	154m	Spielfilm		DE-Po75
Niemand sprach über die Norm		Regie	Filmübung	Potsdam			1994	35mm	115m	Kamera ; Kamera ; Erotik		DE-Po75
Ein Traum im Takt	Xenia Abendroth	Schnitt		Potsdam			1998	35mm	154m	Dokumentarfilm ; Porträtfilm		DE-Po75
Knacken	Arndt Böttger	Regie		Potsdam			1987	16mm		Lehrfilm		DE-Po75
Funkstille im Kopf	Jochen Althoff	Moderation		Potsdam			1994	16mm	110m	Spielfilm ; Zielgruppe	40 [vierzig] Jahre Hochschule für Film und Fernsehen (HFF) ; DDR ; Plätze ; Potsdam	DE-Po75
Kreide fehlt		Kamera		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Kollektiv Bild &Ton "Potsdam"	1989	U-matic		Dokumentarfilm		DE-Po75
Wo die Träume leise verblassen		Regie		Potsdam			1991	Betacam SP		Dokumentarfilm ; Frauen		DE-Po75
Als ich zurücksah	Paul Finke	Moderation	F3	Potsdam		Atelier für Dokumentarfilm Babelsberg	1994	16mm	131m			DE-Po75
Schlüssel zum Niemandsland	Hartmut Voss	Regie	Filmübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1994	16mm	394m	Animationsfilm		DE-Po75
Kaffeemaschinen im Dienste der Revolution	Rita Vollrath	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1993	16mm	125m			DE-Po75
Wo das Licht die Schatten küsst		Regie		Potsdam			1999	Betacam SP		Trailer	nonverbal	DE-Po75
Fehlermeldung bei Position B3	Quirin Börner			Potsdam			1997	VHS		Spielfilm		DE-Po75
...wo die Wölfe heulen	Simone Schwarz	Moderation		Potsdam		Filmgruppe Berlin-Mitte	1994	35mm	944m	Dokumentarfilm ; Komödie		DE-Po75
Die Wahrheit liegt dazwischen		Regie		Potsdam	Abteilung	Kollektiv Bild und Ton Potsdam ; Atelier fuer Dokumentarfilm BABELSBERG	1997	35mm	435m	Animationsfilm ; Komödie ; Krankheit		DE-Po75
Eisige Stille in der Nacht – Halle	Jürgen-Peter Laux	Regie		Potsdam			1992	Video		Spielfilm		DE-Po75
Die Wärme nach dem Frost	Harald-Jürgen Händel			Potsdam			1992	35mm	188m			DE-Po75
Hinter der Wand aus Glas		Regie	Diplomfilm	Potsdam			1997	16mm	103m	Dokumentarfilm		DE-Po75
Wenn die Erinnerung nach Kohle riecht	Anastasia Romanova	Regie	Hauptprüfungsfilm	Potsdam		Filmgruppe Berlin-Mitte	1990				Wahljahr 1990 . Mauer	DE-Po75
<<Der>> Takt im Regen	Leila Abbas	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1990	35mm	200m			DE-Po75
Erinnerungen an den Hafen – Rostock	Rita Vollrath	Regie	Zeitbeschreibung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1998	16mm	426m	Dokumentarfilm		DE-Po75
Ein Besuch in Zeulenroda	Egon Härtel	Regie	Abschlußfilm	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	35mm	88m	Werbefilm		DE-Po75
Etikett unleserlich	Valerie Mielke		Kameraübung	Potsdam			1991	16mm	84m	Dokumentarfilm		DE-Po75
Spätzug gestrichen	Sabrina-Karola Schenke		F2	Potsdam		Filmgruppe "Berlin-Mitte"	1995	Betacam SP				DE-Po75
Papierboote im Kanal	Mia Wolf	Regie	F3	Potsdam			1995/96	16mm	9m	Spielfilm ; Liebe ; Dokumentarfilm ; Großstadt		DE-Po75
Spiegelung	Bernd Yilmaz	Kameraübung		Potsdam		Atelier für Dokumentar-Film Babelsberg	1988	16mm	316m			DE-Po75
Einstellung verändert	Valeria Weidner	Regie		Potsdam			1994	Betacam SP			Grenze ; Straßen ; Mauerfall ; Wende	DE-Po75
Lager zurückstellen	Erika Falk		Kameraübung				1988	Video		Interviewfilm		DE-Po75
<<Das>> Geheimnis der Hochspannungsmasten	Bettina Dorn		Kameraübung	Potsdam		Film gruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1991	16mm	500m			DE-Po75
Und nur das Fenster offen blieb	Olga-Brigitte Kühnel	Buch		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1990	U-matic			Grenze ; Mauerfall	DE-Po75
Die Melodie der Erinnerung – Potsdam	Veit Weidner	Regie	Lichtübung	Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier für Dokumentar-Film Babelsberg	1989	U-matic		Dokumentarfilm		DE-Po75
Nächte voller Tinte		Regie		Potsdam			1991	35mm	310m		nonverbal ; ohne Worte	DE-Po75
<<Ein>> Kuss aus rostigen Nägeln		Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	[1988]	16mm	160m			DE-Po75
Ende offen	Layla El-Habib	Regie		Potsdam		Filmgruppe Berlin-Mitte	1996	16mm		Dokumentarfilm		DE-Po75
Die Magie eines unerwarteten Moments	Dagmar Adler	Kamera		Potsdam			[1992]	Betacam SP		Adaption		DE-Po75
Inmitten von Schatten und Licht				Potsdam			1991	35mm	700m	Spielfilm		DE-Po75
<<Ein>> Mantel aus Novembernebel	Godelinde Jäkel	Regie		Potsdam			1987	16mm	790m	Film- und Fernsehregie ; Arbeit		DE-Po75
<<Ein>> Schrei der Stille	Pham Duc Tuan	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1994	16mm	155m	Animationsfilm		DE-Po75
Niemand trug den gleichen Mantel	Arndt Böttger			Potsdam			1988	35mm		Dokumentarfilm ; Adaption		DE-Po75
<<Das>> verborgene Muster	Jana Illner	Regie		Potsdam			1998/99	35mm	121m	Spielfilm		DE-Po75
<<Der>> letzte Mondstrahl	Xenia Abendroth	Regie	Diplomfilm	Potsdam			[1994]	Betacam SP				DE-Po75
Das neue Jahr begann mit dem alten Slogan	Anna Nowak	Regie		Potsdam			1999	Betacam SP				DE-Po75
Die Poesie der kaputten Jukeboxen		Regie		Potsdam			1992	16mm	333m		Aussteiger ; Bühnenstück ; kulturelle Minderheit ; Anti AIDS Spot ; nonverbal ; ohne Dialog ; no dialogue ; ohne Dialog ; no dialogue	DE-Po75
Kartoffelblütenkrieg	Sandy-Liane Mai	Regie		Potsdam			1985	16mm	158m	Spielfilm	Küche	DE-Po75
Ich ging nicht hinaus	Christfried Neuhaus	Regie	F2	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1996	Betacam SP				DE-Po75
Als alles leise wurde		Regie		Potsdam			1992	16mm	124m			DE-Po75
<<Das>> Muster im Nichts	Bastian Böhmer	Regie		Potsdam			1988	DVD		Kamera ; Arbeit		DE-Po75
Das Brot war bereits vorgeschnitten				Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Kollektiv Bild &Ton "Potsdam"	1997	16mm	28m		Zirkus	DE-Po75
Fahrradkörbe voller Fragen	Gabi Schirmer	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1998	16mm	1136m	Dokumentarfilm		DE-Po75
<<Ein>> Tanz auf dem Vulkan	Almut Bauer	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1993	16mm	164m			DE-Po75
Der Tag zwischen Tropfen	Volkmar Zink	Regie		Potsdam			1999				Trailer . ohne Worte . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Das Flüstern der Gassen – Dresden	Huang Wei	Regie	Vordiplomfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg	1996	16mm		Spielfilm		DE-Po75
Ein Herz aus Staub	Volkhard Ewert	Regie	F1	Potsdam			1992	16mm	131m			DE-Po75
Wenn die Dunkelheit zum Licht wird	Gertrud Rautenberg			Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1999	35mm	160m			DE-Po75
1989: Stimmen der Freiheit	Jörn-Karsten Lichtenberg			Potsdam		Filmgruppe "Berlin-Mitte" ; Kollektiv Bild & Ton Potsdam	1986	16mm	531m			DE-Po75
Drift	Xenia Ihlenfeld	Regie		Potsdam			1998	16mm	22m			DE-Po75
Funkstille im Weltraum	Anastasia Volkova	Kameraübung	TV-Übung	Potsdam			1989	VHS				DE-Po75
Als ich mich selbst vergaß	Wiltrud Fuhrmanns	Regie		Potsdam			1988	35mm	79m	Dokumentarfilm		DE-Po75
<<Die>> Reise der ungeschriebenen Briefe	Jenny-Margot Hahn	Regie	Hauptprüfungsfilm	Potsdam			1985	35mm	60m			DE-Po75
Der Ofen war längst kalt	Petra-Renate Rupprecht	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Produktionskollektiv Brandenburg/Havel	1988/89	35mm	94m			DE-Po75
Blickpunkt Leipzig – 1988		Kamera		Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild &Ton "Potsdam"	[1996]	35mm	174m	Animationsfilm ; Satire		DE-Po75
Vielleicht ein Zeichen	Paul Finke	Regie		Potsdam			1997	35mm	120m			DE-Po75
Die Bank vorm Kulturhaus war besetzt		Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Audiovisuelle Werkstatt Frankfurt Oder	1988	16mm		Dokumentarfilm		DE-Po75
<<Das>> Labyrinth der Lügen	Jörn-Karsten Lichtenberg	Regie	Diplomfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg	[1988]					DE-Po75
Es war alles zu hell	Peter Nowack	Regie		Potsdam			1990	VHS				DE-Po75
Lichter des Nordens	Alexandra Bieber	Regie	Filmübung	Potsdam			1995	Betacam SP				DE-Po75
Stufe drei wurde übersprungen	Uta Vollrath	Idee		Potsdam			1994	35mm	60m			DE-Po75
Ich ging rückwärts durch die Tür	Olga Jürgens	Regie	Diplomfilm	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Kollektiv Bild & Ton Potsdam	1987	U-matic				DE-Po75
Leise zwischen den Seiten	Zenta Abt	Regie				Filmgruppe "Berlin-Mitte" ; Atelier für Dokumentarfilm Babelsberg	1988	16mm	188m			DE-Po75
Der Marsch durch den Regen	Fatima Ali	Kameraübung	Kameraübung				1987	16mm			Arbeiter	DE-Po75
<<Die>> Träne des Ozeans	Olga Mielke	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Atelier fuer Dokumentarfilm BABELSBERG	1997	16mm	143m		Strafvollzug . Rentner . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Unter den Linden – Berlin 1984	Hoang Minh Tuan			Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1993	16mm	235m	Dokumentation ; Familie		DE-Po75
Geruch	Traute Hoffmann	Regie		Potsdam			1991	VHS				DE-Po75
Im Licht der Volkshauslampe	Jürgen Althoff	Regie		Potsdam			1989	VHS				DE-Po75
Zeitsprünge in Jena	Vanessa Vogt			Potsdam			1999	35mm	275m			DE-Po75
Zwischen Kindheit und Kontrolle		Regie	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Audiovisuelle Werkstatt Frankfurt Oder	1989	U-matic Low-Band				DE-Po75
<<Der>> Ofen lief zu heiß	Ilka-Luise Mielke	Regie	Hauptprüfungsfilm	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1985	35mm	110m	Dokumentarfilm ; Porträtfilm		DE-Po75
Ich trug das Protokoll in der Tasche		Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg	1988	VHS		Spielfilm		DE-Po75
Mein Name stand im Kalender	Tariq Abbas	Regie		Potsdam			1997	35mm	60m	Dokumentarfilm		DE-Po75
Ein Funken Hoffnung im Sturm der Zeit	Marianne Bähr	Kamera		Potsdam			1992	S-VHS				DE-Po75
Als alles sich löste	Tanja Vogt	Regie		Potsdam			1989	U-matic		Arbeit		DE-Po75
Wenn die Stille zu laut wird	Tran Thi Minh	Regie	F2	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Kollektiv Bild &Ton "Potsdam"	1999	16mm	611m	Spielfilm	nonverbal	DE-Po75
Die Straße war länger als sonst		Regie		Potsdam			1986	16mm	238m	Dokumentarfilm		DE-Po75
Blick	Dietmar Rupprecht	Regie		Potsdam			1993	S-VHS		Spielfilm		DE-Po75
Und keiner sprach es aus	Marta Novak	Regie		Potsdam			1997	DV Sony/ Betacam SP		Dokumentarfilm		DE-Po75
Und die Milch kam nie an	Zhang Mei	Regie	F1	Potsdam			[1997]	35mm	230m	Animationsfilm		DE-Po75
Wenn die Dunkelheit zum sanften Licht wird	Janosch Büchner	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel ; Atelier für Dokumentar-Film Babelsberg	1988/89	16mm	590m	Dokumentarfilm ; Arbeit		DE-Po75
„Aller guten Dinge sind drei“ – Erfurt	Olga Abeln		F1	Potsdam			1996			Spielfilm ; Trailer		DE-Po75
Wenn der Hofstaat Bauern rief	Olaf-Pascal Quandel		Kameraübung	Potsdam		Filmgruppe "Berlin-Mitte" ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1987			Spielfilm		DE-Po75
<<Ein>> Pfad durch die Zeitungsberge	Anastasia Belova	Regie	Regieübung	Potsdam			1985	35mm	36m		Festival . Tagebau . Berlin . Schnitt	DE-Po75
Schattenklang	Christiane Ehlert	Regie		Potsdam			1999	Betacam SP		Dokumentarfilm		DE-Po75
Der Augenblick, der blieb	Katrin Karge	Regie	Hauptprüfungsfilm	Potsdam			1987			Spielfilm ; Fahrzeug ; Porträtfilm		DE-Po75
Im Auge des Sturms	Nadja-Elke Quandt			Potsdam			1992	S-VHS		Spielfilm	Krebsforschung	DE-Po75
Mein Blick fiel auf den Ordner	Christian Eberspächer	Regie	Diplomfilm	Potsdam			1991	Digital Betacam			Regionales . Theaterstück	DE-Po75
Und alle wussten warum	Karl-Heinz Möbus		Diplomfilm	Potsdam			1988	16mm	590m	Sportfilm ; Landschaft		DE-Po75
Als das Radio noch Westradio hieß	Joachim-Uwe Neuhaus	Regie		Potsdam			1989	16mm	26m			DE-Po75
Die Zählung wurde wiederholt	Detlef Donath	Regie		Potsdam			1992	16mm	142m	Krankheit ; Bühneninszenierung	Studiogespräch . alternative Lebensweise . Friedrich II. . ohne Sprache . ohne Worte . ohne Sprache	DE-Po75
Feuer im Eis	Heike Bergmann	Regie		Potsdam		Filmgruppe Berlin-Mitte ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1996	35mm	525m	Kriminalfilm ; Tiere		DE-Po75
Ich wählte keine Zahl	Jochen Uhlmann	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; lichtbild Arbeits gemeinschaft Griebnitzsee	1989	16mm	558m	Animationsfilm		DE-Po75
Der Lärm hatte Form	Patrick-Stefan Krauß	Regie		Potsdam			1992	35mm	70m	Spielfilm ; Porträtfilm ; Kulturgeschichte		DE-Po75
Heft mit 30 leeren Seiten		Regie	Übung	Potsdam			1989	35mm	31m			DE-Po75
<<Die>> Wandfarbe hieß Sand	Ortrun Voss	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1995	16mm				DE-Po75
Samstag mit Parteiauftrag	Marie Schulz	Regie		Potsdam			1997	16mm	205m	Spielfilm	Ehepaar ; ohne Worte	DE-Po75
Feinheit		Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1996	16mm	14m	Dokumentarfilm		DE-Po75
Anweisung vom Vorarbeiter	Xaver Ebeling	Regie		Potsdam			1996	35mm	147m	Spielfilm		DE-Po75
Ich stand falsch			Lichtübung	Potsdam		Filmgruppe Berlin-Mitte ; "AudioVisuelle Werkstatt" Frankfurt/Oder	[1988]	16mm	100m	Dokumentarfilm ; Arbeit	Lausitz	DE-Po75
<<Die>> Stille	Denise-Regina Steffen	Kamera		Potsdam		Filmgruppe "Berlin-Mitte"	1985	U-matic		Dokumentarfilm		DE-Po75
Im Schatten der Bezirksparteileitung	Sven Nolting		Kameraübung	Potsdam			1989	16mm	480m	Dokumentarfilm		DE-Po75
Ein Ort, den niemand kennt		Animation		Potsdam		Film gruppe Berlin-Mitte	1996	35mm	70m			DE-Po75
Du standest an der Wand	Ludger Diederich	Regie		Potsdam			1989	16mm				DE-Po75
Ein seltsames Jahr		Regie	Lichtübung	Potsdam		Atelier für Dokumentarfilm Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1998	16mm	58m	Spielfilm		DE-Po75
<<Ein>> Sommer ohne Sonne	Oskar Rothe	Regie	Regieübung	Potsdam		Filmstudio Babelsberg Ost ; Atelier fuer Dokumentarfilm BABELSBERG	1991	Betacam SP				DE-Po75
Dein Satz war kürzer als meiner	Lars Möbus	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier für Dokumentar-Film Babelsberg	1998	16mm				DE-Po75
<<Die>> Hülle von Morgen	Ulli Uhlmann	Regie		Potsdam			1986	16mm		Spielfilm		DE-Po75
Benutzung außerhalb der Zeit nicht gestattet	Bärbel Degenhardt	Kamera		Potsdam			1990	DVD		Spielfilm ; Wende		DE-Po75
FDJ‑Abschiedsfoto	Christian Zink	Kameraübung		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Atelier fuer Dokumentarfilm BABELSBERG	1995	16mm	189m			DE-Po75
Niemand drückte den Knopf	Olaf-Rainer Scholl	Regie	Kameraübung	Potsdam		Produktionskollektiv Brandenburg/Havel	1999	35mm	24m	Spielfilm		DE-Po75
Die Richtung, die sich selbst verläuft	Rolf Tröger			Potsdam		Kollektiv Bild und Ton Potsdam ; Filmstudio Babelsberg Ost	1993	VHS				DE-Po75
„Wer zuletzt lacht, lacht am besten“ – Berlin	Heike Abendroth	Regie		Potsdam			1999	16mm	2450m	Spielfilm		DE-Po75
<<Der>> Koffer des Kapitäns		Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Audiovisuelle Werkstatt Frankfurt Oder	1999	16mm	31m			DE-Po75
Zwischen Worten und Bildern – Erfurt	Kai Oehme	Regie	F2				1993	Betacam SP				DE-Po75
<<Das>> Buch der ungeschriebenen Worte		Kamera		Potsdam			1990	VHS				DE-Po75
Zwischen Kaserne und Küche	Ottmar Schade	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1990	35mm	559m			DE-Po75
Kantenlicht	Louis Mayer	Regie	Filmübung	Potsdam			1985	16mm	44m		KZ ; Konzentrationslager ; Straßenzüge ; Hauptbahnhof Potsdam ; Straßen	DE-Po75
Der Rand war nicht für uns gedacht	Olga-Brigitte Kühnel	Regie		Potsdam		Filmgruppe Berlin-Mitte	1990	16mm	120m	Porträtfilm		DE-Po75
Wenn die Wandzeitung brannte	Olga Pohl	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	Betacam SP				DE-Po75
Der Schatten des großen Turms – Leipzig	Kathrin-Elke Opitz	Regie					1995	Betacam		Dokumentarfilm		DE-Po75
Der Versuch im Licht			F2	Potsdam			1995	16mm				DE-Po75
Ein Lied, das keiner hört	Birgit Weber		Lichtübung	Potsdam		Kollektiv Bild und Ton Potsdam ; Atelier für Dokumentar-Film Babelsberg	[ca. 1996/97]	35mm	65m	Animation ; Zeichentrickfilm		DE-Po75
Träne	Oswin Reichel			Berlin			1990	35mm	344m			DE-Po75
Unten im Licht	Nadja-Elke Quandt	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1993	Betacam SP		Dokumentarfilm ; Film- und Fernsehregie		DE-Po75
Wenn Worte sanft verglühen	Olga-Brigitte Kühnel	Regie	Kameraübung	Potsdam			1988/89	U-matic		Unterhaltung	Wahlen ; Braunkohle ; Potsdam DDR ; Pflegeheim	DE-Po75
Plenum beendet	Philipp Pohl	Regie	Diplomfilm	Potsdam		Kollektiv Bild und Ton Potsdam	1999			Spielfilm ; Frauen		DE-Po75
Asche und Sternenstaub	Detlef Uhlmann	Regie		Potsdam			1987/88	16mm		Dokumentarfilm ; Arbeit ; Porträtfilm		DE-Po75
So lang, bis der Tag erwacht	Klara Meyer	Buch		Potsdam			1995	16mm	130m	Trailer		DE-Po75
Die Stimme der Straße – 1986 (Potsdam)		Regie	Hauptprüfungsfilm	Potsdam		Produktionskollektiv Brandenburg/Havel ; Atelier für Dokumentar-Film Babelsberg	1991	16mm	700m	Adaption		DE-Po75
Ein verblasster Augenblick in der Ewigkeit	Gertrud Rautenberg	Regie		Potsdam		Film gruppe Berlin-Mitte ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1999			Spielfilm ; Kinder- und Jugendfilm	Soziale Probleme ; Verkehrssicherheitsspot ; Gesellschaft ; ohne Dialog ; no dialogue	DE-Po75
