Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Vielleicht morgen	Hartmut-Ingo Gehrke	Regie	Hauptprüfungsfilm	Potsdam			1987		false	U-matic		Dokumentarfilm	Komödie	Arbeit														
Bubi		Regie	Kameraübung	Potsdam			1986		false	VHS		Dokumentarfilm																
Gebrochene Töne	Benjamin Koch	Regie	Lichtübung	Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1992		false	16mm	656m																	
flüchtiger Moment, der ewig bleibt, Ein		Regie		Potsdam			1991		false	35mm		Spielfilm																
Schleier der Kälte	Heidemarie Karge	Kamera		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1985		false	16mm	300m	Spielfilm																
Abschied in Moll – Erfurt, Ein	Bernd Böttger	Regie					1988		false	35mm																		
Wandzeitung ohne Schlagzeile	Nina Oertel	Regie		Potsdam			1993		false	Betacam SP		Spielfilm						Potsdam	Maler	ohne Sprache								
Hinter dem hellen Ton		Kameraübung		Potsdam			1988		false	16mm	140m																	
Im Fall der Dinge	Katrin Karge			Potsdam			1986		false	16mm	154m	Spielfilm																
Niemand sprach über die Norm		Regie	Filmübung	Potsdam			1994		false	35mm	115m	Kamera	Kamera	Erotik														
Traum im Takt, Ein	Xenia Abendroth	Schnitt		Potsdam			1998		false	35mm	154m	Dokumentarfilm	Porträtfilm															
Knacken	Arndt Böttger	Regie		Potsdam			1987		false	16mm		Lehrfilm																
Funkstille im Kopf	Jochen Althoff	Moderation		Potsdam			1994		false	16mm	110m	Spielfilm	Zielgruppe					40 [vierzig] Jahre Hochschule für Film und Fernsehen (HFF)	DDR	Plätze	Potsdam							
Kreide fehlt		Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1989		false	U-matic		Dokumentarfilm																
Wo die Träume leise verblassen		Regie		Potsdam			1991		false	Betacam SP		Dokumentarfilm	Frauen															
Als ich zurücksah	Paul Finke	Moderation	F3	Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false	16mm	131m																	
Schlüssel zum Niemandsland	Hartmut Voss	Regie	Filmübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Audiovisuelle Werkstatt Frankfurt/Oder	1994		false	16mm	394m	Animationsfilm																
Kaffeemaschinen im Dienste der Revolution	Rita Vollrath	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1993		false	16mm	125m																	
Wo das Licht die Schatten küsst		Regie		Potsdam			1999		false	Betacam SP		Trailer						nonverbal										
Fehlermeldung bei Position B3	Quirin Börner			Potsdam			1997		false	VHS		Spielfilm																
...wo die Wölfe heulen	Simone Schwarz	Moderation		Potsdam	Filmgruppe Berlin-Mitte		1994		false	35mm	944m	Dokumentarfilm	Komödie															
Wahrheit liegt dazwischen, Die		Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1997		false	35mm	435m	Animationsfilm	Komödie	Krankheit														
Eisige Stille in der Nacht – Halle	Jürgen-Peter Laux	Regie		Potsdam			1992		false	Video		Spielfilm																
Wärme nach dem Frost, Die	Harald-Jürgen Händel			Potsdam			1992		false	35mm	188m																	
Hinter der Wand aus Glas		Regie	Diplomfilm	Potsdam			1997		false	16mm	103m	Dokumentarfilm																
Wenn die Erinnerung nach Kohle riecht	Anastasia Romanova	Regie	Hauptprüfungsfilm	Potsdam	Filmgruppe Berlin-Mitte		1990		false									Wahljahr 1990	Mauer									
Takt im Regen, Der	Leila Abbas	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1990		false	35mm	200m																	
Erinnerungen an den Hafen – Rostock	Rita Vollrath	Regie	Zeitbeschreibung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm	426m	Dokumentarfilm																
Besuch in Zeulenroda, Ein	Egon Härtel	Regie	Abschlußfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	35mm	88m	Werbefilm																
Etikett unleserlich	Valerie Mielke		Kameraübung	Potsdam			1991		false	16mm	84m	Dokumentarfilm																
Spätzug gestrichen	Sabrina-Karola Schenke		F2	Potsdam	Filmgruppe Berlin-Mitte		1995		false	Betacam SP																		
Papierboote im Kanal	Mia Wolf	Regie	F3	Potsdam			1995	1996	false	16mm	9m	Spielfilm	Liebe	Dokumentarfilm	Großstadt													
Spiegelung	Bernd Yilmaz	Kameraübung		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	316m																	
Einstellung verändert	Valeria Weidner	Regie		Potsdam			1994		false	Betacam SP								Grenze	Straßen	Mauerfall	Wende							
Lager zurückstellen	Erika Falk		Kameraübung				1988		false	Video		Interviewfilm																
Geheimnis der Hochspannungsmasten, Das	Bettina Dorn		Kameraübung	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1991		false	16mm	500m																	
Und nur das Fenster offen blieb	Olga-Brigitte Kühnel	Buch		Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1990		false	U-matic								Grenze	Mauerfall									
Melodie der Erinnerung – Potsdam, Die	Veit Weidner	Regie	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1989		false	U-matic		Dokumentarfilm																
Nächte voller Tinte		Regie		Potsdam			1991		false	35mm	310m							nonverbal	ohne Worte									
Kuss aus rostigen Nägeln, Ein		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	16mm	160m																	
Ende offen	Layla El-Habib	Regie		Potsdam	Filmgruppe Berlin-Mitte		1996		false	16mm		Dokumentarfilm																
Magie eines unerwarteten Moments, Die	Dagmar Adler	Kamera		Potsdam			1992		false	Betacam SP		Adaption																
Inmitten von Schatten und Licht				Potsdam			1991		false	35mm	700m	Spielfilm																
Mantel aus Novembernebel, Ein	Godelinde Jäkel	Regie		Potsdam			1987		false	16mm	790m	Film- und Fernsehregie	Arbeit															
Schrei der Stille, Ein	Pham Duc Tuan	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1994		false	16mm	155m	Animationsfilm																
Niemand trug den gleichen Mantel	Arndt Böttger			Potsdam			1988		false	35mm		Dokumentarfilm	Adaption															
verborgene Muster, Das	Jana Illner	Regie		Potsdam			1998	1999	false	35mm	121m	Spielfilm																
letzte Mondstrahl, Der	Xenia Abendroth	Regie	Diplomfilm	Potsdam			1994		false	Betacam SP																		
neue Jahr begann mit dem alten Slogan, Das	Anna Nowak	Regie		Potsdam			1999		false	Betacam SP																		
Poesie der kaputten Jukeboxen, Die		Regie		Potsdam			1992		false	16mm	333m							Aussteiger	Bühnenstück	kulturelle Minderheit	Anti AIDS Spot	nonverbal	ohne Dialog	no dialogue	ohne Dialog	no dialogue		
Kartoffelblütenkrieg	Sandy-Liane Mai	Regie		Potsdam			1985		false	16mm	158m	Spielfilm						Küche										
Ich ging nicht hinaus	Christfried Neuhaus	Regie	F2	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1996		false	Betacam SP																		
Als alles leise wurde		Regie		Potsdam			1992		false	16mm	124m																	
Muster im Nichts, Das	Bastian Böhmer	Regie		Potsdam			1988		false	DVD		Kamera	Arbeit															
Brot war bereits vorgeschnitten, Das				Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1997		false	16mm	28m							Zirkus										
Fahrradkörbe voller Fragen	Gabi Schirmer	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1998		false	16mm	1136m	Dokumentarfilm																
Tanz auf dem Vulkan, Ein	Almut Bauer	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1993		false	16mm	164m																	
Tag zwischen Tropfen, Der	Volkmar Zink	Regie		Potsdam			1999		false									Trailer	ohne Worte	ohne Sprache	ohne Dialog	no dialogue						
Flüstern der Gassen – Dresden, Das	Huang Wei	Regie	Vordiplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1996		false	16mm		Spielfilm																
Herz aus Staub, Ein	Volkhard Ewert	Regie	F1	Potsdam			1992		false	16mm	131m																	
Wenn die Dunkelheit zum Licht wird	Gertrud Rautenberg			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1999		false	35mm	160m																	
1989: Stimmen der Freiheit	Jörn-Karsten Lichtenberg			Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1986		false	16mm	531m																	
Drift	Xenia Ihlenfeld	Regie		Potsdam			1998		false	16mm	22m																	
Funkstille im Weltraum	Anastasia Volkova	Kameraübung	TV-Übung	Potsdam			1989		false	VHS																		
Als ich mich selbst vergaß	Wiltrud Fuhrmanns	Regie		Potsdam			1988		false	35mm	79m	Dokumentarfilm																
Reise der ungeschriebenen Briefe, Die	Jenny-Margot Hahn	Regie	Hauptprüfungsfilm	Potsdam			1985		false	35mm	60m																	
Ofen war längst kalt, Der	Petra-Renate Rupprecht	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Produktionskollektiv Brandenburg/Havel	1988	1989	false	35mm	94m																	
Blickpunkt Leipzig – 1988		Kamera		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1996		false	35mm	174m	Animationsfilm	Satire															
Vielleicht ein Zeichen	Paul Finke	Regie		Potsdam			1997		false	35mm	120m																	
Bank vorm Kulturhaus war besetzt, Die		Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Audiovisuelle Werkstatt Frankfurt/Oder	1988		false	16mm		Dokumentarfilm																
Labyrinth der Lügen, Das	Jörn-Karsten Lichtenberg	Regie	Diplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false																			
Es war alles zu hell	Peter Nowack	Regie		Potsdam			1990		false	VHS																		
Lichter des Nordens	Alexandra Bieber	Regie	Filmübung	Potsdam			1995		false	Betacam SP																		
Stufe drei wurde übersprungen	Uta Vollrath	Idee		Potsdam			1994		false	35mm	60m																	
Ich ging rückwärts durch die Tür	Olga Jürgens	Regie	Diplomfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild & Ton Potsdam	1987		false	U-matic																		
Leise zwischen den Seiten	Zenta Abt	Regie			Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1988		false	16mm	188m																	
Marsch durch den Regen, Der	Fatima Ali	Kameraübung	Kameraübung				1987		false	16mm								Arbeiter										
Träne des Ozeans, Die	Olga Mielke	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1997		false	16mm	143m							Strafvollzug	Rentner	ohne Sprache	ohne Dialog	no dialogue						
Unter den Linden – Berlin 1984	Hoang Minh Tuan			Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1993		false	16mm	235m	Dokumentation	Familie															
Geruch	Traute Hoffmann	Regie		Potsdam			1991		false	VHS																		
Im Licht der Volkshauslampe	Jürgen Althoff	Regie		Potsdam			1989		false	VHS																		
Zeitsprünge in Jena	Vanessa Vogt			Potsdam			1999		false	35mm	275m																	
Zwischen Kindheit und Kontrolle		Regie	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	U-matic Low-Band																		
Ofen lief zu heiß, Der	Ilka-Luise Mielke	Regie	Hauptprüfungsfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1985		false	35mm	110m	Dokumentarfilm	Porträtfilm															
Ich trug das Protokoll in der Tasche		Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	VHS		Spielfilm																
Mein Name stand im Kalender	Tariq Abbas	Regie		Potsdam			1997		false	35mm	60m	Dokumentarfilm																
Funken Hoffnung im Sturm der Zeit, Ein	Marianne Bähr	Kamera		Potsdam			1992		false	S-VHS																		
Als alles sich löste	Tanja Vogt	Regie		Potsdam			1989		false	U-matic		Arbeit																
Wenn die Stille zu laut wird	Tran Thi Minh	Regie	F2	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1999		false	16mm	611m	Spielfilm						nonverbal										
Straße war länger als sonst, Die		Regie		Potsdam			1986		false	16mm	238m	Dokumentarfilm																
Blick	Dietmar Rupprecht	Regie		Potsdam			1993		false	S-VHS		Spielfilm																
Und keiner sprach es aus	Marta Novak	Regie		Potsdam			1997		false	DV Sony/ Betacam SP		Dokumentarfilm																
Und die Milch kam nie an	Zhang Mei	Regie	F1	Potsdam			1997		false	35mm	230m	Animationsfilm																
Wenn die Dunkelheit zum sanften Licht wird	Janosch Büchner	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel	Atelier für Dokumentarfilm Babelsberg	1988	1989	false	16mm	590m	Dokumentarfilm	Arbeit															
„Aller guten Dinge sind drei“ – Erfurt	Olga Abeln		F1	Potsdam			1996		false			Spielfilm	Trailer															
Wenn der Hofstaat Bauern rief	Olaf-Pascal Quandel		Kameraübung	Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987		false			Spielfilm																
Pfad durch die Zeitungsberge, Ein	Anastasia Belova	Regie	Regieübung	Potsdam			1985		false	35mm	36m							Festival	Tagebau	Berlin	Schnitt							
Schattenklang	Christiane Ehlert	Regie		Potsdam			1999		false	Betacam SP		Dokumentarfilm																
Augenblick, der blieb, Der	Katrin Karge	Regie	Hauptprüfungsfilm	Potsdam			1987		false			Spielfilm	Fahrzeug	Porträtfilm														
Im Auge des Sturms	Nadja-Elke Quandt			Potsdam			1992		false	S-VHS		Spielfilm						Krebsforschung										
Mein Blick fiel auf den Ordner	Christian Eberspächer	Regie	Diplomfilm	Potsdam			1991		false	Digital Betacam								Regionales	Theaterstück									
Und alle wussten warum	Karl-Heinz Möbus		Diplomfilm	Potsdam			1988		false	16mm	590m	Sportfilm	Landschaft															
Als das Radio noch Westradio hieß	Joachim-Uwe Neuhaus	Regie		Potsdam			1989		false	16mm	26m																	
Zählung wurde wiederholt, Die	Detlef Donath	Regie		Potsdam			1992		false	16mm	142m	Krankheit	Bühneninszenierung					Studiogespräch	alternative Lebensweise	Friedrich II.	ohne Sprache	ohne Worte	ohne Sprache					
Feuer im Eis	Heike Bergmann	Regie		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1996		false	35mm	525m	Kriminalfilm	Tiere															
Ich wählte keine Zahl	Jochen Uhlmann	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1989		false	16mm	558m	Animationsfilm																
Lärm hatte Form, Der	Patrick-Stefan Krauß	Regie		Potsdam			1992		false	35mm	70m	Spielfilm	Porträtfilm	Kulturgeschichte														
Heft mit 30 leeren Seiten		Regie	Übung	Potsdam			1989		false	35mm	31m																	
Wandfarbe hieß Sand, Die	Ortrun Voss	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1995		false	16mm																		
Samstag mit Parteiauftrag	Marie Schulz	Regie		Potsdam			1997		false	16mm	205m	Spielfilm						Ehepaar	ohne Worte									
Feinheit		Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1996		false	16mm	14m	Dokumentarfilm																
Anweisung vom Vorarbeiter	Xaver Ebeling	Regie		Potsdam			1996		false	35mm	147m	Spielfilm																
Ich stand falsch			Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1988		false	16mm	100m	Dokumentarfilm	Arbeit					Lausitz										
Stille, Die	Denise-Regina Steffen	Kamera		Potsdam	Filmgruppe Berlin-Mitte		1985		false	U-matic		Dokumentarfilm																
Im Schatten der Bezirksparteileitung	Sven Nolting		Kameraübung	Potsdam			1989		false	16mm	480m	Dokumentarfilm																
Ort, den niemand kennt, Ein		Animation		Potsdam	Filmgruppe Berlin-Mitte		1996		false	35mm	70m																	
Du standest an der Wand	Ludger Diederich	Regie		Potsdam			1989		false	16mm																		
seltsames Jahr, Ein		Regie	Lichtübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1998		false	16mm	58m	Spielfilm																
Sommer ohne Sonne, Ein	Oskar Rothe	Regie	Regieübung	Potsdam	Filmstudio Babelsberg Ost	Atelier für Dokumentarfilm Babelsberg	1991		false	Betacam SP																		
Dein Satz war kürzer als meiner	Lars Möbus	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm																		
Hülle von Morgen, Die	Ulli Uhlmann	Regie		Potsdam			1986		false	16mm		Spielfilm																
Benutzung außerhalb der Zeit nicht gestattet	Bärbel Degenhardt	Kamera		Potsdam			1990		false	DVD		Spielfilm	Wende															
FDJ‑Abschiedsfoto	Christian Zink	Kameraübung		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1995		false	16mm	189m																	
Niemand drückte den Knopf	Olaf-Rainer Scholl	Regie	Kameraübung	Potsdam	Produktionskollektiv Brandenburg/Havel		1999		false	35mm	24m	Spielfilm																
Richtung, die sich selbst verläuft, Die	Rolf Tröger			Potsdam	Kollektiv Bild & Ton Potsdam	Filmstudio Babelsberg Ost	1993		false	VHS																		
„Wer zuletzt lacht, lacht am besten“ – Berlin	Heike Abendroth	Regie		Potsdam			1999		false	16mm	2450m	Spielfilm																
Koffer des Kapitäns, Der		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Audiovisuelle Werkstatt Frankfurt/Oder	1999		false	16mm	31m																	
Zwischen Worten und Bildern – Erfurt	Kai Oehme	Regie	F2				1993		false	Betacam SP																		
Buch der ungeschriebenen Worte, Das		Kamera		Potsdam			1990		false	VHS																		
Zwischen Kaserne und Küche	Ottmar Schade	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1990		false	35mm	559m																	
Kantenlicht	Louis Mayer	Regie	Filmübung	Potsdam			1985		false	16mm	44m							KZ	Konzentrationslager	Straßenzüge	Hauptbahnhof Potsdam	Straßen						
Rand war nicht für uns gedacht, Der	Olga-Brigitte Kühnel	Regie		Potsdam	Filmgruppe Berlin-Mitte		1990		false	16mm	120m	Porträtfilm																
Wenn die Wandzeitung brannte	Olga Pohl	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	Betacam SP																		
Schatten des großen Turms – Leipzig, Der	Kathrin-Elke Opitz	Regie					1995		false	Betacam		Dokumentarfilm																
Versuch im Licht, Der			F2	Potsdam			1995		false	16mm																		
Lied, das keiner hört, Ein	Birgit Weber		Lichtübung	Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1996	1997	true	35mm	65m	Animation	Zeichentrickfilm															
Träne	Oswin Reichel			Berlin			1990		false	35mm	344m																	
Unten im Licht	Nadja-Elke Quandt	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1993		false	Betacam SP		Dokumentarfilm	Film- und Fernsehregie															
Wenn Worte sanft verglühen	Olga-Brigitte Kühnel	Regie	Kameraübung	Potsdam			1988	1989	false	U-matic		Unterhaltung						Wahlen	Braunkohle	Potsdam DDR	Pflegeheim							
Plenum beendet	Philipp Pohl	Regie	Diplomfilm	Potsdam	Kollektiv Bild & Ton Potsdam		1999		false			Spielfilm	Frauen															
Asche und Sternenstaub	Detlef Uhlmann	Regie		Potsdam			1987	1988	false	16mm		Dokumentarfilm	Arbeit	Porträtfilm														
So lang, bis der Tag erwacht	Klara Meyer	Buch		Potsdam			1995		false	16mm	130m	Trailer																
Stimme der Straße – 1986 (Potsdam), Die		Regie	Hauptprüfungsfilm	Potsdam	Produktionskollektiv Brandenburg/Havel	Atelier für Dokumentarfilm Babelsberg	1991		false	16mm	700m	Adaption																
verblasster Augenblick in der Ewigkeit, Ein	Gertrud Rautenberg	Regie		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false			Spielfilm	Kinder- und Jugendfilm					Soziale Probleme	Verkehrssicherheitsspot	Gesellschaft	ohne Dialog	no dialogue						
Schatten im Archiv	Chen Yong	Regie		Potsdam			1987		false	16mm	66m	Dokumentarfilm	Arbeit					Parklandschaft										
Besuch bei der Tante in Plauen	Renate Eichel	Animation		Berlin			1995	1996	false	16mm	12m	Dokumentarfilm																
Lagerfläche 12 überfüllt	Tran Minh	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1992		false	DVD																		
Melodie des ungesagten Abschieds, Die	Ingeburg Lütke	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel	Atelier für Dokumentarfilm Babelsberg	1992		false	16mm	265m	Animationsfilm						Vietnam										
Straßen waren leer, als der Strom fiel, Die	Jana Illner			Potsdam			1998		false	S-16mm	369m	Spielfilm																
Nacht im Pionierlager, Eine	Amir Karim	Regie	Vordiplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1995		false	16mm	339m	Spielfilm	Satire															
Inmitten der Stunde	Monika-Erika Hahn	Regie		Potsdam	Filmgruppe Berlin-Mitte		1988		false	U-matic		Dokumentarfilm	Kinder															
Schritt langsamer als nötig, Ein				Potsdam			1998		false	16mm		Spielfilm	Animationsfilm															
Wo das Gestern zum Heute wird	Yasmin Ziegler	Kameraübung	Diplomfilm	Potsdam			1987		false			Dokumentarfilm	Arbeit	Porträtfilm				Betriebe in der DDR	nach 1945									
Nacharbeit erforderlich	Albrecht Becker	Regie	Animation	Potsdam			1996	1997	false	16mm	130m	Dokumentarfilm	Animationsfilm															
Melodie eines unvergesslichen Versprechens, Die	Hannah Mayer	Kameraübung		Potsdam			1988		false			Videoclip																
Verwischen		Regie		Potsdam	Produktionskollektiv Brandenburg/Havel	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987	1988	false	16mm	674m																	
Wo die Grenze unsichtbar war	Yasmin Ziegler	Kamera		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Filmstudio Babelsberg Ost	1991		false	U-matic																		
Wintermärchen aus Eisen, Ein	Istvan Papp	Regie		Potsdam			1997		false	16mm	200m	Dokumentarfilm						Blinde	Linien von Nazca									
Tag zwischen den Welten – Potsdam, Ein	Heidemarie Karge	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1985		false	35mm	110m	Dokumentarfilm																
Wir warteten auf etwas Kurzes	Marlies Nitzsche	Kamera		Potsdam			1992	1993	false	16mm		Adaption						Studioinszenierung	Malayo-Polinesisch									
Fehler im System, Der				Potsdam			1990		false	35mm	204m	Spielfilm						Arbeiter DDR	Mauerfall	Mauerfall								
„In der Kürze liegt die Würze“ – Karl‑Marx‑Stadt	Jochen Schade	Animation		Potsdam			1997		false	Betacam SP		Dokumentarfilm	Frauen					Peru										
Tür der Träume, Die	Martin Herrmann		Kameraübung	Potsdam	Filmgruppe Berlin-Mitte		1988		false	16mm	926m	Spielfilm	Musik															
Ton blieb stehen, Der	Erhard Moser	Regie	Diplomfilm	Potsdam			1997		false	16mm	106m																	
Entscheidung vertagt	Gisela Bauer			Potsdam			1985		false	16mm	75m	Filmmontage	Kinder															
Lücke im Klassenbild, Die	Justus Lüdke	Regie	F3	Potsdam			1993		false	16mm	37m	Dokumentarfilm	Episodenfilm	Slapstick														
Eintrag unvollständig	Bertram Cremer	Regie		Potsdam			1998		false	Betacam SP																		
Knopf defekt	Ulrike-Valerie Wagner	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1996		false	16mm	158m	Dokumentarfilm																
Am Puls der Großstadt – Leipzig				Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1988		false	35mm	261m	Porträtfilm	Spielfilm	Frauen														
Blick zur Uhr – 17:58, Der	Otmar Rösler	Regie	Montageübung	Potsdam			1995	1996	false	35mm	87m	Spielfilm	Antifaschismus															
Ascheflug	Xenia Schade	Regie	Lichtübung	Potsdam			1995		false	35mm	168m	Adaption																
Protokoll übergeben – ohne Anhang				Potsdam	Produktionskollektiv Brandenburg/Havel		1993		false	16mm	295m																	
Mein Bruder und das Regal	Tran Duc Huy	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1992	1993	false	16mm	102m	Dokumentarfilm						Studioinszenierung	Medizin	ohne Worte								
Dorf, das Nein sagte, Das	Yusuf Omar	Kamera		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	U-matic		Dokumentarfilm																
Sammelmappe "Oktober 1989"		Regie	Hauptprüfungsfilm	Potsdam	Kollektiv Bild & Ton Potsdam		1990		false	U-matic		Spielfilm																
Raumnummer unklar	Simone Weber	Regie	F3	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1985		false	16mm	90m	Dokumentarfilm	Kinder	Adaption	Arbeit													
Stimme des Regens, Die	Veit Weidner	Kameraübung		Potsdam	Filmstudio Babelsberg Ost		1988		false	16mm		Dokumentarfilm	Landbevölkerung															
letzter Blick ins Dunkel, Ein			Übung				1990		false	16mm	1388m																	
Koffer voller Sterne, Ein	Marika Oertel	Kamera		Potsdam	Kollektiv Bild & Ton Potsdam		1987		false	VHS																		
Fluss der Zeit, Der		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1992		false	16mm	100m	Dokumentarfilm	Kamera															
Garten der verbotenen Früchte, Der		Regie		Potsdam	Filmgruppe Berlin-Mitte		1987		false																			
Unter dem Dom in Dresden	Renate Kühnel	Regie	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1999		false	35mm		Trailer	Frauen															
Mein Name im Inventar	Volker Döhler		Filmübung	London	Kollektiv Bild & Ton Potsdam		1995		false	Betacam SP								Objektkunst	Potsdam	Mauerfall	Potsdam	no dialogue						
Im Herzen des Winters	Phan Quoc Viet	Regie		Potsdam			1986		false	16mm	480m	Dokumentarfilm	Unterhaltung	Märchenfilm														
Tinte im Nebel	Jürgen Becker	Regie		Potsdam			1996		false	16mm																		
Mein Stuhl war falsch nummeriert	Heike Abendroth	Regie		Potsdam	Filmgruppe Berlin-Mitte		1998		false	35mm	192m																	
Montag nach der Parade		Regie	Abschlußfilm	Potsdam			1995	1996	false	Betacam SP		Spielfilm						Vietnam										
Erinnerung auf Zehenspitzen, Die	Chantal-Stefanie Krause	Regie	F2	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1999		false	16mm	257m																	
Treppe rutschig – Achtung Wende		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1985		false	16mm	84m																	
letzte Tanz im Wartesaal, Der		Regie		Potsdam			1987		false	35mm		Dokumentarfilm	Arbeit					Nachkriegszeit	Kultureinrichtungen	Park Sanssouci								
Mauer stand im Kopf, Die	Martin Herrmann		Kameraübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1988		false	16mm	114m	Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
